OTU,LDA_score,CLass
MTRNR2L6,4.530936703115389,Negative
MT-CO3,3.791629922945742,Negative
MTRNR2L11,3.6049367706778335,Negative
EEF1A1,3.4949388018655894,Negative
UBC,3.3531360720051406,Negative
RPL41,3.1047939225602925,Negative
PIGR,3.039288973315579,Negative
MTATP6P1,3.1472177525799725,Positive
MT-ND6,3.3001065988871012,Positive
